date,Plant ID,diversion_rate_kgM,withdrawal_rate_kgM,discharge_rate_kgM,consumption_rate_kgM,avg_intake_temp_C,max_intake_temp_C,avg_discharge_temp_C,max_discharge_temp_C,Nameplate Capacity (MW),Plant Name,State,max_withdrawal_rate_kgM
2016-01-01,869,7975053849.599999,142489844352.0,6632282649.599999,1342771200.0,0.5555555555555556,5.555555555555555,1.1111111111111112,40.0,2018.6,Dresden Generating Station,IL,157750851942.14398
2016-02-01,869,8725311014.400002,128570721407.99998,7469170214.4,1256140800.0,2.2222222222222223,6.111111111111112,3.8888888888888893,46.0,2018.6,Dresden Generating Station,IL,147573377623.296
2016-03-01,869,9735091200.0,161425603814.4,8392320000.0,1342771200.0,8.88888888888889,15.555555555555557,8.88888888888889,54.0,2018.6,Dresden Generating Station,IL,157750851942.14398
2016-04-01,869,9421056000.0,162750041856.0,8121600000.0,1299456000.0,12.777777777777779,21.11111111111111,12.222222222222223,65.0,2018.6,Dresden Generating Station,IL,152662114782.71997
2016-05-01,869,10794705523.199999,165958631539.19998,8392320000.0,2402385523.2,17.77777777777778,27.222222222222225,16.666666666666668,76.0,2018.6,Dresden Generating Station,IL,157750851942.14398
2016-06-01,869,94170114431.99998,165193344000.0,91898178048.0,2271936384.0,25.0,30.555555555555557,27.222222222222225,89.0,2018.6,Dresden Generating Station,IL,152662114782.71997
2016-07-01,869,0.0,172766481523.19998,170699788800.0,2066692723.1999998,26.11111111111111,30.555555555555557,30.555555555555557,91.0,2018.6,Dresden Generating Station,IL,157750851942.14398
2016-08-01,869,0.0,172722673612.8,170699788800.0,2022884812.7999997,25.555555555555557,30.555555555555557,30.555555555555557,91.0,2018.6,Dresden Generating Station,IL,157750851942.14398
2016-09-01,869,0.0,167518233216.0,165193344000.0,2324889215.9999995,21.666666666666668,26.666666666666668,28.333333333333336,87.0,2018.6,Dresden Generating Station,IL,152662114782.71997
2016-10-01,869,9735091200.0,161916050995.2,8392320000.0,1342771200.0,16.11111111111111,22.22222222222222,16.666666666666668,67.0,2018.6,Dresden Generating Station,IL,157750851942.14398
2016-11-01,869,9421056000.0,117342176256.0,8121600000.0,1299456000.0,10.555555555555555,21.666666666666668,10.555555555555555,60.0,2018.6,Dresden Generating Station,IL,152662114782.71997
2016-12-01,869,9735091200.0,159810585753.6,8392320000.0,1342771200.0,1.6666666666666667,7.222222222222222,1.6666666666666667,46.0,2018.6,Dresden Generating Station,IL,157750851942.14398
2017-01-01,869,9735091200.0,146102570265.59998,8392320000.0,1342771200.0,2.2222222222222223,5.555555555555555,1.6666666666666667,42.0,2018.6,Dresden Generating Station,IL,157750851942.14398
