date,Plant ID,diversion_rate_kgM,withdrawal_rate_kgM,discharge_rate_kgM,consumption_rate_kgM,avg_intake_temp_C,max_intake_temp_C,avg_discharge_temp_C,max_discharge_temp_C,Nameplate Capacity (MW),Plant Name,State,max_withdrawal_rate_kgM
2016-01-01,3251,0.0,0.0,0.0,0.0,-17.77777777777778,-17.77777777777778,-17.77777777777778,0.0,768.6,H B Robinson,SC,113896370880.0
2016-01-01,3251,0.0,85034712430.08,85034712430.08,0.0,14.444444444444445,22.22222222222222,26.11111111111111,90.0,768.6,H B Robinson,SC,113896370880.0
2016-02-01,3251,0.0,0.0,0.0,0.0,-17.77777777777778,-17.77777777777778,-17.77777777777778,0.0,768.6,H B Robinson,SC,106548217920.0
2016-02-01,3251,0.0,75985181729.28,75985181729.28,0.0,12.777777777777779,15.0,25.555555555555557,83.0,768.6,H B Robinson,SC,106548217920.0
2016-03-01,3251,0.0,0.0,0.0,0.0,-17.77777777777778,-17.77777777777778,-17.77777777777778,0.0,768.6,H B Robinson,SC,113896370880.0
2016-03-01,3251,0.0,88485852614.4,88485852614.4,0.0,18.88888888888889,22.22222222222222,30.555555555555557,93.0,768.6,H B Robinson,SC,113896370880.0
2016-04-01,3251,0.0,0.0,0.0,0.0,-17.77777777777778,-17.77777777777778,-17.77777777777778,0.0,768.6,H B Robinson,SC,110222294400.0
2016-04-01,3251,0.0,83222311334.4,83222311334.4,0.0,21.666666666666668,25.555555555555557,33.333333333333336,100.0,768.6,H B Robinson,SC,110222294400.0
2016-05-01,3251,0.0,0.0,0.0,0.0,-17.77777777777778,-17.77777777777778,-17.77777777777778,0.0,768.6,H B Robinson,SC,113896370880.0
2016-05-01,3251,0.0,93092749539.83997,93092749539.83997,0.0,25.555555555555557,27.77777777777778,36.66666666666667,106.0,768.6,H B Robinson,SC,113896370880.0
2016-06-01,3251,0.0,0.0,0.0,0.0,-17.77777777777778,-17.77777777777778,-17.77777777777778,0.0,768.6,H B Robinson,SC,110222294400.0
2016-06-01,3251,0.0,87166468915.20001,87166468915.20001,0.0,28.88888888888889,31.111111111111114,40.55555555555556,109.0,768.6,H B Robinson,SC,110222294400.0
