date,Plant ID,diversion_rate_kgM,withdrawal_rate_kgM,discharge_rate_kgM,consumption_rate_kgM,avg_intake_temp_C,max_intake_temp_C,avg_discharge_temp_C,max_discharge_temp_C,Nameplate Capacity (MW),Plant Name,State,max_withdrawal_rate_kgM
2016-01-01,880,0.0,90397035648.0,90397035648.0,0.0,0.5555555555555556,1.1111111111111112,26.11111111111111,81.0,2018.6,Quad Cities Generating Station,IL,157750851942.14398
2016-02-01,880,0.0,84564968831.99998,84564968831.99998,0.0,1.1111111111111112,3.8888888888888893,26.11111111111111,82.0,2018.6,Quad Cities Generating Station,IL,147573377623.296
2016-03-01,880,0.0,83350340236.8,83350340236.8,0.0,6.666666666666667,10.0,27.77777777777778,88.0,2018.6,Quad Cities Generating Station,IL,157750851942.14398
2016-04-01,880,0.0,122690087423.99998,122690087423.99998,0.0,11.666666666666668,18.333333333333336,28.88888888888889,94.0,2018.6,Quad Cities Generating Station,IL,152662114782.71997
2016-05-01,880,0.0,163491121612.8,163491121612.8,0.0,17.77777777777778,25.0,33.333333333333336,106.0,2018.6,Quad Cities Generating Station,IL,157750851942.14398
2016-06-01,880,0.0,159810347520.0,159810347520.0,0.0,25.555555555555557,27.77777777777778,41.111111111111114,111.0,2018.6,Quad Cities Generating Station,IL,152662114782.71997
2016-07-01,880,0.0,165732542438.4,165732542438.4,0.0,26.666666666666668,28.333333333333336,42.77777777777778,112.0,2018.6,Quad Cities Generating Station,IL,157750851942.14398
2016-08-01,880,0.0,165209533056.0,165209533056.0,0.0,26.11111111111111,28.333333333333336,42.77777777777778,112.0,2018.6,Quad Cities Generating Station,IL,157750851942.14398
2016-09-01,880,0.0,159586191360.0,159586191360.0,0.0,22.22222222222222,25.555555555555557,38.333333333333336,107.0,2018.6,Quad Cities Generating Station,IL,152662114782.71997
2016-10-01,880,0.0,153393146496.0,153393146496.0,0.0,15.555555555555557,18.333333333333336,32.22222222222222,96.0,2018.6,Quad Cities Generating Station,IL,157750851942.14398
2016-11-01,880,0.0,142192972800.0,142192972800.0,0.0,9.444444444444445,13.333333333333334,27.222222222222225,86.0,2018.6,Quad Cities Generating Station,IL,152662114782.71997
2016-12-01,880,0.0,93969814118.4,93969814118.4,0.0,1.1111111111111112,5.0,26.11111111111111,81.0,2018.6,Quad Cities Generating Station,IL,157750851942.14398
2017-01-01,880,0.0,89923708800.0,89923708800.0,0.0,0.5555555555555556,1.1111111111111112,25.0,80.0,2018.6,Quad Cities Generating Station,IL,157750851942.14398
2017-02-01,880,0.0,82061144524.79999,82061144524.79999,0.0,2.2222222222222223,6.111111111111112,25.555555555555557,86.0,2018.6,Quad Cities Generating Station,IL,142484640463.87198
2017-03-01,880,0.0,90831254284.79999,90831254284.79999,0.0,5.0,7.777777777777779,26.11111111111111,83.0,2018.6,Quad Cities Generating Station,IL,157750851942.14398
2017-04-01,880,0.0,112440790656.0,112440790656.0,0.0,12.777777777777779,16.11111111111111,30.0,93.0,2018.6,Quad Cities Generating Station,IL,152662114782.71997
2017-05-01,880,0.0,163042803878.4,163042803878.4,0.0,16.11111111111111,21.11111111111111,32.22222222222222,99.0,2018.6,Quad Cities Generating Station,IL,157750851942.14398
2017-06-01,880,0.0,159885066240.0,159885066240.0,0.0,23.88888888888889,27.222222222222225,39.44444444444444,110.0,2018.6,Quad Cities Generating Station,IL,152662114782.71997
2017-07-01,880,0.0,165882093580.8,165882093580.8,0.0,25.555555555555557,27.77777777777778,41.66666666666667,111.0,2018.6,Quad Cities Generating Station,IL,157750851942.14398
2017-08-01,880,0.0,156886533619.19998,156886533619.19998,0.0,23.88888888888889,27.222222222222225,38.88888888888889,111.0,2018.6,Quad Cities Generating Station,IL,157750851942.14398
2017-09-01,880,0.0,160109222400.0,160109222400.0,0.0,22.22222222222222,25.555555555555557,38.333333333333336,107.0,2018.6,Quad Cities Generating Station,IL,152662114782.71997
2017-10-01,880,0.0,145966782527.99997,145966782527.99997,0.0,15.555555555555557,20.555555555555557,32.77777777777778,98.0,2018.6,Quad Cities Generating Station,IL,157750851942.14398
2017-11-01,880,0.0,102426695423.99998,102426695423.99998,0.0,5.0,7.222222222222222,27.77777777777778,89.0,2018.6,Quad Cities Generating Station,IL,152662114782.71997
2017-12-01,880,0.0,94924188748.8,94924188748.8,0.0,1.6666666666666667,6.111111111111112,27.77777777777778,88.0,2018.6,Quad Cities Generating Station,IL,157750851942.14398
2018-01-01,880,0.0,92290343040.0,92290343040.0,0.0,0.5555555555555556,1.1111111111111112,26.11111111111111,82.0,2018.6,Quad Cities Generating Station,IL,157750851942.14398
2018-02-01,880,0.0,83359019520.0,83359019520.0,0.0,0.5555555555555556,2.2222222222222223,25.0,79.0,2018.6,Quad Cities Generating Station,IL,142484640463.87198
2018-03-01,880,0.0,79006307558.4,79006307558.4,0.0,4.444444444444445,8.88888888888889,26.11111111111111,86.0,2018.6,Quad Cities Generating Station,IL,157750851942.14398
2018-04-01,880,0.0,98392046976.0,98392046976.0,0.0,7.222222222222222,14.444444444444445,27.222222222222225,96.0,2018.6,Quad Cities Generating Station,IL,152662114782.71997
2018-05-01,880,0.0,134738361907.2,134738361907.2,0.0,19.444444444444446,26.666666666666668,37.77777777777778,109.0,2018.6,Quad Cities Generating Station,IL,157750851942.14398
2018-06-01,880,0.0,159511472640.0,159511472640.0,0.0,24.444444444444446,27.77777777777778,40.55555555555556,111.0,2018.6,Quad Cities Generating Station,IL,152662114782.71997
2018-07-01,880,0.0,166031476876.8,166031476876.8,0.0,26.666666666666668,28.88888888888889,42.77777777777778,112.0,2018.6,Quad Cities Generating Station,IL,157750851942.14398
2018-08-01,880,0.0,165732542438.4,165732542438.4,0.0,26.11111111111111,28.333333333333336,42.22222222222222,112.0,2018.6,Quad Cities Generating Station,IL,157750851942.14398
2018-09-01,880,0.0,152636213376.0,152636213376.0,0.0,21.666666666666668,25.0,37.22222222222222,106.0,2018.6,Quad Cities Generating Station,IL,152662114782.71997
2018-10-01,880,0.0,147517515417.6,147517515417.6,0.0,11.666666666666668,16.666666666666668,30.0,93.0,2018.6,Quad Cities Generating Station,IL,157750851942.14398
2018-11-01,880,0.0,93962526336.0,93962526336.0,0.0,4.444444444444445,10.0,27.222222222222225,87.0,2018.6,Quad Cities Generating Station,IL,152662114782.71997
2018-12-01,880,0.0,89923708800.0,89923708800.0,0.0,1.1111111111111112,2.2222222222222223,25.555555555555557,81.0,2018.6,Quad Cities Generating Station,IL,157750851942.14398
