date,Plant ID,diversion_rate_kgM,withdrawal_rate_kgM,discharge_rate_kgM,consumption_rate_kgM,avg_intake_temp_C,max_intake_temp_C,avg_discharge_temp_C,max_discharge_temp_C,Nameplate Capacity (MW),Plant Name,State,max_withdrawal_rate_kgM
2016-01-01,6122,0.0,58746240000.0,58746240000.0,0.0,2.7777777777777777,6.111111111111112,16.666666666666668,64.0,614.0,R E Ginna Nuclear Power Plant,NY,67123213803.64799
2016-02-01,6122,0.0,42961742553.6,42961742553.6,0.0,2.2222222222222223,3.8888888888888893,16.666666666666668,64.0,614.0,R E Ginna Nuclear Power Plant,NY,62792683880.83199
2016-03-01,6122,0.0,52568485401.6,52568485401.6,0.0,4.444444444444445,5.555555555555555,17.22222222222222,64.0,614.0,R E Ginna Nuclear Power Plant,NY,67123213803.64799
2016-04-01,6122,0.0,55610381951.99999,58859021951.99999,0.0,6.111111111111112,8.88888888888889,17.77777777777778,69.0,614.0,R E Ginna Nuclear Power Plant,NY,64957948842.24
2016-05-01,6122,0.0,58746240000.0,58746240000.0,0.0,10.0,16.666666666666668,21.666666666666668,84.0,614.0,R E Ginna Nuclear Power Plant,NY,67123213803.64799
2016-06-01,6122,0.0,56851200000.0,56851200000.0,0.0,16.666666666666668,21.666666666666668,28.333333333333336,92.0,614.0,R E Ginna Nuclear Power Plant,NY,64957948842.24
2016-07-01,6122,0.0,59445655948.799995,59445655948.799995,0.0,21.666666666666668,25.0,33.88888888888889,98.0,614.0,R E Ginna Nuclear Power Plant,NY,67123213803.64799
2016-08-01,6122,0.0,59562141350.399994,59562141350.399994,0.0,21.666666666666668,25.555555555555557,33.333333333333336,99.0,614.0,R E Ginna Nuclear Power Plant,NY,67123213803.64799
2016-09-01,6122,0.0,57640781951.99999,57640781951.99999,0.0,21.666666666666668,25.0,33.333333333333336,98.0,614.0,R E Ginna Nuclear Power Plant,NY,64957948842.24
2016-10-01,6122,0.0,58746240000.0,58746240000.0,0.0,15.555555555555557,18.88888888888889,27.222222222222225,87.0,614.0,R E Ginna Nuclear Power Plant,NY,67123213803.64799
2016-11-01,6122,0.0,56851200000.0,56851200000.0,0.0,11.11111111111111,13.88888888888889,23.333333333333336,78.0,614.0,R E Ginna Nuclear Power Plant,NY,64957948842.24
