date,Plant ID,diversion_rate_kgM,withdrawal_rate_kgM,discharge_rate_kgM,consumption_rate_kgM,avg_intake_temp_C,max_intake_temp_C,avg_discharge_temp_C,max_discharge_temp_C,Nameplate Capacity (MW),Plant Name,State,max_withdrawal_rate_kgM,elc_mmbtu_in,elc_mwh_out
2016-01-01,46,0.0,354826618214.4,354761997350.4,64620863.99999999,10.0,15.0,15.0,59.0,3494.0,Browns Ferry,AL,332301344317.056,24545455.0,2346937.0
2016-02-01,46,0.0,332607241727.99994,331874126553.6,733115174.3999999,9.444444444444445,10.555555555555555,11.666666666666668,55.0,3494.0,Browns Ferry,AL,310862547909.504,20016211.0,1913869.0
2016-03-01,46,0.0,355625902771.19995,354761997350.4,863905420.8,15.555555555555555,16.666666666666668,20.0,71.0,3494.0,Browns Ferry,AL,332301344317.056,17609886.0,1683786.0
2016-04-01,46,0.0,318822016895.99994,318716436095.99994,105580800.0,21.666666666666668,22.22222222222222,26.11111111111111,81.0,3494.0,Browns Ferry,AL,321581946113.28,25149560.0,2404699.0
2016-05-01,46,0.0,332082927475.2,331986247948.8,96679526.4,26.666666666666668,27.77777777777778,26.666666666666668,87.0,3494.0,Browns Ferry,AL,332301344317.056,25806804.0,2467542.0
2016-06-01,46,0.0,343886411520.0,343318061952.0,568349567.9999999,30.55555555555556,30.55555555555556,30.55555555555556,90.0,3494.0,Browns Ferry,AL,321581946113.28,24562586.0,2348575.0
2016-07-01,46,0.0,353043753753.6,352943717299.19995,100036454.4,31.111111111111114,31.666666666666668,31.666666666666668,90.0,3494.0,Browns Ferry,AL,332301344317.056,23259049.0,2223936.0
2016-08-01,46,0.0,326974186598.4,326519490700.80005,454695897.6,31.666666666666668,31.666666666666668,31.666666666666668,91.0,3494.0,Browns Ferry,AL,332301344317.056,24125232.0,2306757.0
2016-09-01,46,0.0,317014148735.99994,316900283904.0,113864832.0,30.0,30.55555555555556,31.111111111111114,89.0,3494.0,Browns Ferry,AL,321581946113.28,22653941.0,2166078.0
2016-10-01,46,0.0,254371722739.2,253273168051.2,1098554687.9999998,23.88888888888889,25.0,27.222222222222225,82.0,3494.0,Browns Ferry,AL,332301344317.056,17043380.0,1629619.0
2016-11-01,46,0.0,325195523712.0,325100825855.99994,94697856.0,17.77777777777778,22.22222222222222,25.0,77.0,3494.0,Browns Ferry,AL,321581946113.28,23469923.0,2244099.0
2016-12-01,46,0.0,347775223104.0,347476960051.19995,298263052.8,11.666666666666668,14.444444444444445,17.22222222222222,64.0,3494.0,Browns Ferry,AL,332301344317.056,25923771.0,2478726.0
2017-01-01,46,0.0,323791986700.80005,323666605440.0,125381260.79999998,12.222222222222223,13.88888888888889,14.444444444444445,60.0,3494.0,Browns Ferry,AL,332301344317.056,24696563.0,2361245.0
2017-02-01,46,0.0,289109424844.8,289001483366.4,107941478.4,13.88888888888889,20.55555555555556,17.77777777777778,67.0,3494.0,Browns Ferry,AL,300143149705.728,20493207.0,1959361.0
2017-03-01,46,0.0,258226986700.8,257834561817.6,392424883.1999999,17.22222222222222,18.88888888888889,18.88888888888889,68.0,3494.0,Browns Ferry,AL,332301344317.056,17401844.0,1663795.0
2017-04-01,46,0.0,315986603904.0,315869003135.99994,117763200.0,22.22222222222222,24.444444444444446,25.55555555555556,78.0,3494.0,Browns Ferry,AL,321581946113.28,24818265.0,2372881.0
2017-05-01,46,0.0,337452837350.4,337330309478.4,122527872.0,25.0,25.0,27.77777777777778,82.0,3494.0,Browns Ferry,AL,332301344317.056,25877095.0,2474116.0
2017-06-01,46,0.0,326894400000.0,326358374400.0,536025600.0,27.77777777777778,30.0,31.111111111111114,88.0,3494.0,Browns Ferry,AL,321581946113.28,24645647.0,2356377.0
2017-07-01,46,0.0,326519490700.80005,325912222425.6,607268275.1999999,31.666666666666668,32.22222222222222,32.22222222222222,91.0,3494.0,Browns Ferry,AL,332301344317.056,25524299.0,2440385.0
2017-08-01,46,0.0,326519490700.80005,326453359219.19995,66131481.6,30.0,30.55555555555556,31.666666666666668,90.0,3494.0,Browns Ferry,AL,332301344317.056,24801478.0,2371276.0
2017-09-01,46,0.0,343385796095.99994,343332680832.0,53115263.99999999,26.666666666666668,28.333333333333336,29.444444444444446,86.0,3494.0,Browns Ferry,AL,321581946113.28,25016979.0,2391880.0
2017-10-01,46,0.0,354831989299.19995,354712818355.2,119170944.0,24.444444444444446,25.55555555555556,27.222222222222225,82.0,3494.0,Browns Ferry,AL,332301344317.056,26127905.0,2498096.0
2017-11-01,46,0.0,329714381952.0,329645998080.0,68383872.0,18.333333333333336,20.0,21.11111111111111,72.0,3494.0,Browns Ferry,AL,321581946113.28,25401718.0,2428665.0
