date,Plant ID,diversion_rate_kgM,withdrawal_rate_kgM,discharge_rate_kgM,consumption_rate_kgM,avg_intake_temp_C,max_intake_temp_C,avg_discharge_temp_C,max_discharge_temp_C,Nameplate Capacity (MW),Plant Name,State,max_withdrawal_rate_kgM,elc_mmbtu_in,elc_mwh_out
2016-01-01,6011,0.0,401515276377.6,401515276377.6,0.0,7.777777777777779,12.222222222222223,13.333333333333334,65.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,402889953499.776,13356140.0,1277060.0
2016-02-01,6011,0.0,293874454195.2,293874454195.2,0.0,4.444444444444445,6.666666666666667,5.0,55.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,376897053273.984,9472394.0,905712.0
2016-03-01,6011,0.0,356233674585.6,356233674585.6,0.0,7.777777777777779,11.666666666666668,13.333333333333334,64.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,402889953499.776,11312841.0,1081688.0
2016-04-01,6011,0.0,387482997888.0,387482997888.0,0.0,13.88888888888889,16.666666666666668,19.444444444444446,73.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,389893503386.8799,13394146.0,1280694.0
2016-05-01,6011,0.0,403297637299.2,403297637299.2,0.0,17.22222222222222,20.55555555555556,22.77777777777778,80.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,402889953499.776,13721194.0,1311965.0
2016-06-01,6011,0.0,377254167552.0,377254167552.0,0.0,23.88888888888889,27.77777777777778,30.0,93.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,389893503386.8799,12889314.0,1232424.0
2016-07-01,6011,0.0,403297637299.2,403297637299.2,0.0,28.333333333333336,31.111111111111114,34.44444444444444,99.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,402889953499.776,13394146.0,1280694.0
2016-08-01,6011,0.0,403297637299.2,403297637299.2,0.0,30.55555555555556,31.111111111111114,36.11111111111112,99.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,402889953499.776,13271761.0,1268992.0
2016-09-01,6011,0.0,389566025856.0,389566025856.0,0.0,26.666666666666668,28.88888888888889,32.77777777777778,96.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,389893503386.8799,12983294.0,1241410.0
2016-10-01,6011,0.0,401831163302.4,401831163302.4,0.0,21.11111111111111,24.444444444444446,27.77777777777778,88.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,402889953499.776,13643916.0,1304576.0
2016-11-01,6011,0.0,386456590080.0,386456590080.0,0.0,15.0,18.333333333333336,21.666666666666668,77.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,389893503386.8799,13385423.0,1279860.0
2016-12-01,6011,0.0,402564316377.6,402564316377.6,0.0,9.444444444444445,12.77777777777778,15.0,66.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,402889953499.776,13544832.0,1295102.0
2017-01-01,6011,0.0,403180984051.1999,403180984051.1999,0.0,5.0,7.777777777777779,11.666666666666668,57.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,402889953499.776,13908245.0,1329771.0
2017-02-01,6011,0.0,257725440000.0,257725440000.0,0.0,5.0,7.777777777777779,11.666666666666668,58.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,363900603161.088,8928905.0,853695.0
2017-03-01,6011,0.0,403180984051.1999,403180984051.1999,0.0,7.222222222222222,10.555555555555555,13.88888888888889,62.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,402889953499.776,12717922.0,1215964.0
2017-04-01,6011,0.0,390288036096.0,390288036096.0,0.0,12.222222222222223,17.77777777777778,18.88888888888889,75.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,389893503386.8799,13536057.0,1294186.0
2017-05-01,6011,0.0,403297637299.2,403297637299.2,0.0,15.0,21.666666666666668,21.666666666666668,82.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,402889953499.776,13895505.0,1328553.0
2017-06-01,6011,0.0,389836800000.0,389836800000.0,0.0,22.22222222222222,27.222222222222225,28.333333333333336,92.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,389893503386.8799,13294984.0,1271137.0
2017-07-01,6011,0.0,403297637299.2,403297637299.2,0.0,27.222222222222225,30.0,32.77777777777778,97.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,402889953499.776,13583311.0,1298704.0
2017-08-01,6011,0.0,403297637299.2,403297637299.2,0.0,26.666666666666668,28.88888888888889,32.77777777777778,95.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,402889953499.776,13530618.0,1293666.0
2017-09-01,6011,0.0,390288036096.0,390288036096.0,0.0,24.444444444444446,26.11111111111111,30.55555555555556,90.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,389893503386.8799,13237062.0,1265599.0
2017-10-01,6011,0.0,402947845401.6,402947845401.6,0.0,21.666666666666668,25.0,28.333333333333336,89.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,402889953499.776,13770017.0,1316555.0
2017-11-01,6011,0.0,388595981952.00006,388595981952.00006,0.0,14.444444444444445,19.444444444444446,20.55555555555556,79.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,389893503386.8799,13550458.0,1295563.0
2017-12-01,6011,0.0,400733280000.0,400733280000.0,0.0,8.88888888888889,13.88888888888889,15.0,69.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,402889953499.776,14052831.0,1343595.0
2018-01-01,6011,0.0,403297637299.2,403297637299.2,0.0,2.2222222222222223,5.0,8.88888888888889,52.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,402889953499.776,14075490.0,1346338.0
2018-02-01,6011,0.0,293941776844.8,293941776844.8,0.0,3.333333333333333,6.111111111111112,10.0,55.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,363900603161.088,10036839.0,960036.0
2018-03-01,6011,0.0,315061624051.19995,315061624051.19995,0.0,5.555555555555555,8.88888888888889,12.77777777777778,60.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,402889953499.776,10164856.0,972281.0
2018-04-01,6011,0.0,390288036096.0,390288036096.0,0.0,9.444444444444445,15.0,15.0,70.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,389893503386.8799,13460099.0,1287475.0
2018-05-01,6011,0.0,402947845401.6,402947845401.6,0.0,16.11111111111111,22.77777777777778,22.77777777777778,84.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,402889953499.776,13945591.0,1333913.0
2018-06-01,6011,0.0,386227236096.0,386227236096.0,0.0,21.666666666666668,26.666666666666668,28.333333333333336,92.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,389893503386.8799,13345558.0,1276519.0
2018-07-01,6011,0.0,403297637299.2,403297637299.2,0.0,26.11111111111111,28.88888888888889,32.22222222222222,96.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,402889953499.776,13629705.0,1303698.0
2018-08-01,6011,0.0,401316042700.8001,401316042700.8001,0.0,27.222222222222225,29.444444444444446,33.88888888888889,97.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,402889953499.776,13416263.0,1283282.0
2018-09-01,6011,0.0,387580781952.00006,387580781952.00006,0.0,27.77777777777778,29.444444444444446,34.44444444444444,97.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,389893503386.8799,13030559.0,1246389.0
2018-10-01,6011,0.0,402365082700.8001,402365082700.8001,0.0,22.77777777777778,26.11111111111111,29.444444444444446,91.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,402889953499.776,13804705.0,1320437.0
