date,Plant ID,diversion_rate_kgM,withdrawal_rate_kgM,discharge_rate_kgM,consumption_rate_kgM,avg_intake_temp_C,max_intake_temp_C,avg_discharge_temp_C,max_discharge_temp_C,Nameplate Capacity (MW),Plant Name,State,max_withdrawal_rate_kgM,elc_mmbtu_in,elc_mwh_out
2016-01-01,204,29008054080.0,77880729600.0,40024904313.6,0.0,7.777777777777779,10.0,3.333333333333333,44.0,1138.3,Clinton Power Station,IL,102386304000.0,8403724.0,803530.0
2016-02-01,204,13129654694.400002,72856166400.0,12541356852.48,588344947.2,8.88888888888889,11.666666666666668,3.333333333333333,43.0,1138.3,Clinton Power Station,IL,95780735999.99998,7857287.0,751282.0
2016-03-01,204,17257799001.6,77880729600.0,13992179443.2,3265619558.4,11.666666666666668,13.333333333333334,10.0,56.0,1138.3,Clinton Power Station,IL,102386304000.0,8360519.0,799399.0
2016-04-01,204,24209839872.000004,75368448000.0,22427635968.0,1782203904.0,13.88888888888889,19.444444444444446,14.444444444444445,68.0,1138.3,Clinton Power Station,IL,99083520000.0,7517219.0,718766.0
2016-05-01,204,51861516364.8,85444224076.8,41845618137.600006,10015898227.2,18.333333333333336,23.88888888888889,18.88888888888889,75.0,1138.3,Clinton Power Station,IL,102386304000.0,4597026.0,439549.0
2016-06-01,204,24906023424.0,99083520000.0,17860372992.0,7045650431.999999,26.666666666666668,30.0,26.666666666666668,88.0,1138.3,Clinton Power Station,IL,99083520000.0,8051157.0,769819.0
2016-07-01,204,20964351052.8,102386304000.0,18729811929.6,2234539123.2,28.333333333333336,31.111111111111114,28.333333333333336,89.0,1138.3,Clinton Power Station,IL,102386304000.0,8318518.0,795383.0
2016-08-01,204,28532880921.6,102386304000.0,20682704793.6,7850176127.999999,28.88888888888889,31.111111111111114,28.88888888888889,91.0,1138.3,Clinton Power Station,IL,102386304000.0,8307819.0,794360.0
2016-09-01,204,24030190080.0,99083520000.0,23579441280.0,450586368.0,26.11111111111111,27.77777777777778,26.11111111111111,84.0,1138.3,Clinton Power Station,IL,99083520000.0,6885567.0,658370.0
2016-10-01,204,6638325120.0,99589311590.4,5896276185.599999,742048934.3999999,20.0,22.77777777777778,20.0,74.0,1138.3,Clinton Power Station,IL,102386304000.0,8397532.0,802938.0
2016-11-01,204,15652922112.0,75368448000.0,10029103948.8,5623883136.0,13.88888888888889,17.77777777777778,13.88888888888889,65.0,1138.3,Clinton Power Station,IL,99083520000.0,8144405.0,778735.0
2016-12-01,204,18980238758.4,77880729600.0,20372356800.0,0.0,8.88888888888889,12.222222222222223,4.444444444444445,49.0,1138.3,Clinton Power Station,IL,102386304000.0,8391090.0,802322.0
2017-01-01,204,31094049139.2,77880729600.0,26636552294.4,4457496844.8,10.0,13.333333333333334,2.7777777777777777,41.0,1138.3,Clinton Power Station,IL,102386304000.0,8428352.0,805837.0
2017-02-01,204,12154938163.2,70343884800.0,11977410816.0,177527347.2,11.666666666666668,16.666666666666668,6.111111111111112,53.0,1138.3,Clinton Power Station,IL,92477952000.0,7611546.0,727742.0
2017-03-01,204,17925491980.799995,77880729600.0,11192669337.599998,6732822643.199999,10.0,12.77777777777778,9.444444444444445,55.0,1138.3,Clinton Power Station,IL,102386304000.0,8380491.0,801261.0
2017-04-01,204,47602321919.99999,75368448000.0,34278674688.0,13323647232.0,15.0,19.444444444444446,15.555555555555555,66.0,1138.3,Clinton Power Station,IL,99083520000.0,7802760.0,746024.0
2017-05-01,204,38466198720.0,35236666137.600006,33735280089.6,4730918630.4,18.88888888888889,23.333333333333336,18.333333333333336,71.0,1138.3,Clinton Power Station,IL,102386304000.0,1740169.0,166378.0
2017-06-01,204,8463844223.999998,95258408831.99998,4442190336.0,4021491456.0,24.444444444444446,27.222222222222225,24.444444444444446,81.0,1138.3,Clinton Power Station,IL,99083520000.0,6431746.0,614941.0
2017-07-01,204,2745295718.4,102386304000.0,1087980364.8,1657483200.0,28.333333333333336,30.55555555555556,27.222222222222225,85.0,1138.3,Clinton Power Station,IL,102386304000.0,7770745.0,742963.0
2017-08-01,204,1792263859.2,102386304000.0,691695014.3999999,1100568844.8,26.666666666666668,28.88888888888889,26.666666666666668,83.0,1138.3,Clinton Power Station,IL,102386304000.0,8315509.0,795048.0
2017-09-01,204,1297019520.0,99083520000.0,526929408.0,770252543.9999999,24.444444444444446,27.77777777777778,23.88888888888889,80.0,1138.3,Clinton Power Station,IL,99083520000.0,7853456.0,750871.0
2017-10-01,204,1647748108.8,98870089766.4,962095564.8,685820390.4,19.444444444444446,22.77777777777778,19.444444444444446,74.0,1138.3,Clinton Power Station,IL,102386304000.0,8338801.0,797275.0
2017-11-01,204,4915517183.999999,75368448000.0,844321536.0000001,4071358080.0,9.444444444444445,12.77777777777778,9.444444444444445,54.0,1138.3,Clinton Power Station,IL,99083520000.0,8107205.0,775132.0
2017-12-01,204,1713879590.4,77880729600.0,1002378700.8,711500889.6,7.222222222222222,10.555555555555555,6.111111111111112,50.0,1138.3,Clinton Power Station,IL,102386304000.0,6535532.0,624864.0
2018-01-01,204,2226146803.2,77880729600.0,601695774.72,1624417459.2,9.444444444444445,11.666666666666668,2.7777777777777777,40.0,1138.3,Clinton Power Station,IL,102386304000.0,8371173.0,800713.0
2018-02-01,204,44279656243.2,70343884800.0,14789710817.279997,29490006067.2,9.444444444444445,12.77777777777778,3.888888888888889,47.0,1138.3,Clinton Power Station,IL,92477952000.0,7312222.0,699423.0
2018-03-01,204,40949150515.2,77880729600.0,28727163129.6,12222071308.8,9.444444444444445,11.666666666666668,8.333333333333334,50.0,1138.3,Clinton Power Station,IL,102386304000.0,8334153.0,797172.0
2018-04-01,204,29413348992.0,75368448000.0,27817178457.6,1596056832.0000002,13.333333333333334,17.77777777777778,11.11111111111111,61.0,1138.3,Clinton Power Station,IL,99083520000.0,7645275.0,731280.0
2018-05-01,204,10834485120.0,39521952575.99999,8369442535.679998,2464992230.4,22.22222222222222,28.333333333333336,21.666666666666668,86.0,1138.3,Clinton Power Station,IL,102386304000.0,2185001.0,208998.0
2018-06-01,204,24992924544.0,99083520000.0,16833737779.2,8159121791.999999,27.222222222222225,30.55555555555556,27.77777777777778,86.0,1138.3,Clinton Power Station,IL,99083520000.0,8042500.0,769275.0
2018-07-01,204,3382608499.2,102386304000.0,2810269059.84,723417983.9999999,28.333333333333336,31.666666666666668,28.88888888888889,90.0,1138.3,Clinton Power Station,IL,102386304000.0,8278942.0,791891.0
2018-08-01,204,769240051.1999999,102386304000.0,815146041.5999999,0.0,27.77777777777778,30.0,27.222222222222225,85.0,1138.3,Clinton Power Station,IL,102386304000.0,7750449.0,741340.0
2018-09-01,204,1831908096.0,99083520000.0,897907852.8,933984000.0,25.0,28.333333333333336,25.0,82.0,1138.3,Clinton Power Station,IL,99083520000.0,7105115.0,679613.0
2018-10-01,204,15647312793.6,97992420940.8,3528450236.16,12118845772.8,17.77777777777778,22.77777777777778,17.77777777777778,74.0,1138.3,Clinton Power Station,IL,102386304000.0,7171366.0,685950.0
2018-11-01,204,13519702656.000002,104965670016.0,8500505126.4,5019311231.999999,8.88888888888889,13.333333333333334,8.333333333333334,57.0,1138.3,Clinton Power Station,IL,99083520000.0,6683197.0,639256.0
2018-12-01,204,37663892928.0,77880729600.0,30709076636.16,6954715583.999999,8.88888888888889,11.666666666666668,5.0,43.0,1138.3,Clinton Power Station,IL,102386304000.0,8382276.0,801775.0
2019-01-01,204,48375162005.76,77880729600.0,46272466229.76,2102695775.9999995,8.333333333333334,9.444444444444445,4.444444444444445,43.0,1138.3,Clinton Power Station,IL,102386304000.0,8146319.0,780176.0
2019-02-01,204,58663191767.03999,70343884800.0,50270393134.08,8392798632.960001,8.333333333333334,9.444444444444445,2.7777777777777777,39.0,1138.3,Clinton Power Station,IL,92477952000.0,7556982.0,723735.0
2019-03-01,204,56257380011.52,77763237120.0,41773729524.48,14483667271.679996,10.0,12.77777777777778,6.111111111111112,51.0,1138.3,Clinton Power Station,IL,102386304000.0,8389755.0,803490.0
2019-04-01,204,45089839987.2,75368448000.0,49899581452.8,0.0,12.77777777777778,15.0,13.333333333333334,61.0,1138.3,Clinton Power Station,IL,99083520000.0,8154160.0,780927.0
2019-05-01,204,90632658424.32,83416303871.99998,79249030237.43999,11383644971.52,18.333333333333336,23.333333333333336,18.333333333333336,76.0,1138.3,Clinton Power Station,IL,102386304000.0,8148083.0,780345.0
