date,Plant ID,diversion_rate_kgM,withdrawal_rate_kgM,discharge_rate_kgM,consumption_rate_kgM,avg_intake_temp_C,max_intake_temp_C,avg_discharge_temp_C,max_discharge_temp_C,Nameplate Capacity (MW),Plant Name,State,max_withdrawal_rate_kgM,elc_mmbtu_in,elc_mwh_out
2016-01-01,6145,1786053542.4,288549949478.4,4156548249.6,2251491609.6,-17.77777777777778,-17.77777777777778,30.0,87.0,2430.0,Comanche Peak,TX,382018406400.0,19023217.0,1818923.0
2016-02-01,6145,0.0,292678922188.8,551131776.0,2107333209.6,-17.77777777777778,-17.77777777777778,31.111111111111114,91.0,2430.0,Comanche Peak,TX,357372057600.0,17795023.0,1701488.0
2016-03-01,6145,3860467.2,336843387072.0,568831449.6,2222454182.4,-17.77777777777778,-17.77777777777778,32.22222222222222,92.0,2430.0,Comanche Peak,TX,382018406400.0,18839890.0,1801394.0
2016-04-01,6145,4613556096.0,368754425856.0,6021354239.999999,2144752128.0,-17.77777777777778,-17.77777777777778,34.44444444444444,98.0,2430.0,Comanche Peak,TX,369695232000.0,18308348.0,1750570.0
2016-05-01,6145,5343054451.2,251656807219.2,14053275532.8,1111646707.2,-17.77777777777778,-17.77777777777778,31.111111111111114,95.0,2430.0,Comanche Peak,TX,382018406400.0,9467374.0,905232.0
2016-06-01,6145,3583249920.0,368750689920.0,28115354880.0,2117950848.0,-17.77777777777778,-17.77777777777778,39.44444444444444,110.0,2430.0,Comanche Peak,TX,369695232000.0,17962568.0,1717508.0
2016-07-01,6145,6207799103.999999,380940664665.6,2220440025.6,2209362163.2,-17.77777777777778,-17.77777777777778,42.77777777777778,112.0,2430.0,Comanche Peak,TX,382018406400.0,18710257.0,1788999.0
2016-08-01,6145,6523518182.4,380993200588.8,1928555136.0,2190227673.6000004,-17.77777777777778,-17.77777777777778,43.333333333333336,112.0,2430.0,Comanche Peak,TX,382018406400.0,18696515.0,1787685.0
2016-09-01,6145,6444652031.999999,368735746176.0,3746494080.0,2133869184.0,-17.77777777777778,-17.77777777777778,42.77777777777778,110.0,2430.0,Comanche Peak,TX,369695232000.0,18205613.0,1740747.0
2016-10-01,6145,6914600294.4,381004614144.0,5106726720.0,2219936486.4,-17.77777777777778,-17.77777777777778,38.88888888888889,105.0,2430.0,Comanche Peak,TX,382018406400.0,18851311.0,1802486.0
2016-11-01,6145,6719162111.999999,368743218048.0,5924219903.999999,2154660480.0,-17.77777777777778,-17.77777777777778,36.11111111111112,101.0,2430.0,Comanche Peak,TX,369695232000.0,18327790.0,1752429.0
2016-12-01,6145,7027560921.599999,343265358182.4,5302099929.599999,2259212544.0,-17.77777777777778,-17.77777777777778,31.111111111111114,92.0,2430.0,Comanche Peak,TX,382018406400.0,19010228.0,1817681.0
2017-01-01,6145,6726612326.4,288939688819.19995,6988452710.400001,2233699891.2,-17.77777777777778,-17.77777777777778,30.0,88.0,2430.0,Comanche Peak,TX,382018406400.0,19157628.0,1831666.0
2017-02-01,6145,301235558.4,264553951334.4,1373221785.6,1945978675.2,-17.77777777777778,-17.77777777777778,31.666666666666668,92.0,2430.0,Comanche Peak,TX,345048883200.0,17272632.0,1651441.0
2017-03-01,6145,2203319692.8,348568800883.19995,568831449.6,2205166003.2,-17.77777777777778,-17.77777777777778,33.333333333333336,95.0,2430.0,Comanche Peak,TX,382018406400.0,18738866.0,1791628.0
2017-04-01,6145,6752947968.000001,242126337024.0,1595569535.9999998,1120943232.0,-17.77777777777778,-17.77777777777778,30.55555555555556,94.0,2430.0,Comanche Peak,TX,369695232000.0,9518507.0,910067.0
2017-05-01,6145,6095006323.199999,381026266329.6,4989905625.599999,1968334732.8,-17.77777777777778,-17.77777777777778,34.44444444444444,101.0,2430.0,Comanche Peak,TX,382018406400.0,16789912.0,1605288.0
2017-06-01,6145,6463494143.999999,315201082752.0,8616367872.0,1167398784.0,-17.77777777777778,-17.77777777777778,36.11111111111112,101.0,2430.0,Comanche Peak,TX,369695232000.0,9965708.0,952824.0
2017-07-01,6145,6527378649.599999,288671805964.8,9309936268.8,1074720499.2,-17.77777777777778,-17.77777777777778,37.22222222222222,101.0,2430.0,Comanche Peak,TX,382018406400.0,9470939.0,905519.0
2017-08-01,6145,5621175936.0,365676880896.0,4690467648.0,1751812876.8000002,-17.77777777777778,-17.77777777777778,40.55555555555556,110.0,2430.0,Comanche Peak,TX,382018406400.0,15051678.0,1439095.0
2017-09-01,6145,5147470080.0,368706345984.0,1668663935.9999998,2009283840.0,-17.77777777777778,-17.77777777777778,40.55555555555556,107.0,2430.0,Comanche Peak,TX,369695232000.0,17039634.0,1629164.0
2017-10-01,6145,5282797593.6,259948922918.4,1458753062.4,1360898611.2,-17.77777777777778,-17.77777777777778,33.88888888888889,104.0,2430.0,Comanche Peak,TX,382018406400.0,11457639.0,1095468.0
2017-11-01,6145,5188890240.0,355553902080.0,4613718528.0,1682795520.0,-17.77777777777778,-17.77777777777778,30.55555555555556,92.0,2430.0,Comanche Peak,TX,369695232000.0,14453940.0,1381945.0
2017-12-01,6145,4064568422.4,370653526656.0,3789803865.6,2212551244.8,-17.77777777777778,-17.77777777777778,30.55555555555556,90.0,2430.0,Comanche Peak,TX,382018406400.0,18887302.0,1805820.0
