date,Plant ID,diversion_rate_kgM,withdrawal_rate_kgM,discharge_rate_kgM,consumption_rate_kgM,avg_intake_temp_C,max_intake_temp_C,avg_discharge_temp_C,max_discharge_temp_C,Nameplate Capacity (MW),Plant Name,State,max_withdrawal_rate_kgM,elc_mmbtu_in,elc_mwh_out
2016-01-01,8907,0.0,84332577369.59999,84332577369.59999,0.0,2.2222222222222223,4.444444444444445,17.22222222222222,67.0,1012.0,Indian Point 3,NY,141026551044.48,8114765.0,775901.0
2016-02-01,8907,0.0,73559919283.19998,73559919283.19998,0.0,1.1111111111111112,2.7777777777777777,14.444444444444445,62.0,1012.0,Indian Point 3,NY,131928063880.31996,7590669.0,725789.0
2016-03-01,8907,0.0,83827527551.99998,83827527551.99998,0.0,1.6666666666666667,2.2222222222222223,12.222222222222223,58.0,1012.0,Indian Point 3,NY,141026551044.48,8098032.0,774301.0
2016-04-01,8907,0.0,69348880511.99998,69348880511.99998,0.0,7.222222222222222,7.777777777777779,20.55555555555556,71.0,1012.0,Indian Point 3,NY,136477307462.4,7687243.0,735023.0
2016-05-01,8907,0.0,58515283353.6,58515283353.6,0.0,16.11111111111111,16.666666666666668,26.11111111111111,82.0,1012.0,Indian Point 3,NY,141026551044.48,8109264.0,775375.0
2016-06-01,8907,0.0,129452618880.0,129452618880.0,0.0,21.666666666666668,22.22222222222222,32.22222222222222,92.0,1012.0,Indian Point 3,NY,136477307462.4,7804451.0,746230.0
2016-07-01,8907,0.0,139013913254.4,139013913254.4,0.0,24.444444444444446,25.0,35.0,98.0,1012.0,Indian Point 3,NY,141026551044.48,7942943.0,759472.0
2016-08-01,8907,0.0,138725049600.0,138725049600.0,0.0,26.666666666666668,27.77777777777778,37.77777777777778,102.0,1012.0,Indian Point 3,NY,141026551044.48,7897563.0,755133.0
2016-09-01,8907,0.0,99458413056.0,99458413056.0,0.0,26.11111111111111,26.666666666666668,36.11111111111112,99.0,1012.0,Indian Point 3,NY,136477307462.4,7694501.0,735717.0
2016-10-01,8907,0.0,137100632140.8,137100632140.8,0.0,20.0,21.11111111111111,30.0,89.0,1012.0,Indian Point 3,NY,141026551044.48,8087678.0,773311.0
2016-11-01,8907,0.0,103285148543.99998,103285148543.99998,0.0,14.444444444444445,15.555555555555555,27.77777777777778,85.0,1012.0,Indian Point 3,NY,136477307462.4,7820986.0,747811.0
2016-12-01,8907,0.0,91673339673.6,91673339673.6,0.0,10.0,11.11111111111111,22.77777777777778,76.0,1012.0,Indian Point 3,NY,141026551044.48,8075065.0,772105.0
2017-01-01,8907,0.0,124887053859.83997,124887053859.83997,0.0,4.444444444444445,5.555555555555555,20.0,73.0,1012.0,Indian Point 3,NY,141026551044.48,8092311.0,773708.0
2017-02-01,8907,0.0,112738143006.72,112738143006.72,0.0,4.444444444444445,5.555555555555555,18.333333333333336,70.0,1012.0,Indian Point 3,NY,127378820298.23996,7294792.0,697457.0
2017-03-01,8907,0.0,111847923060.48,111847923060.48,0.0,4.444444444444445,6.666666666666667,18.333333333333336,70.0,1012.0,Indian Point 3,NY,141026551044.48,3064817.0,293028.0
2017-04-01,8907,0.0,8605257523.199999,8605257523.199999,0.0,8.333333333333334,8.88888888888889,21.666666666666668,73.0,1012.0,Indian Point 3,NY,136477307462.4,0.0,0.0
2017-05-01,8907,0.0,68968589299.2,68968589299.2,0.0,14.444444444444445,15.0,26.666666666666668,82.0,1012.0,Indian Point 3,NY,141026551044.48,2997910.0,286631.0
2017-06-01,8907,0.0,114123976012.79996,114123976012.79996,0.0,19.444444444444446,19.444444444444446,29.444444444444446,87.0,1012.0,Indian Point 3,NY,136477307462.4,5024073.0,480353.0
2017-07-01,8907,0.0,138376583688.96,138376583688.96,0.0,23.88888888888889,25.0,36.66666666666667,100.0,1012.0,Indian Point 3,NY,141026551044.48,8025059.0,767278.0
2017-08-01,8907,0.0,138481773027.84,138481773027.84,0.0,25.55555555555556,26.11111111111111,37.22222222222222,102.0,1012.0,Indian Point 3,NY,141026551044.48,8013961.0,766217.0
2017-09-01,8907,0.0,134014619059.19998,134014619059.19998,0.0,23.88888888888889,24.444444444444446,34.44444444444444,97.0,1012.0,Indian Point 3,NY,136477307462.4,7800878.0,745844.0
2017-10-01,8907,0.0,137029649898.24,137029649898.24,0.0,22.22222222222222,22.77777777777778,32.77777777777778,94.0,1012.0,Indian Point 3,NY,141026551044.48,8086224.0,773126.0
2017-11-01,8907,0.0,113437700812.79996,113437700812.79996,0.0,15.0,16.11111111111111,25.0,80.0,1012.0,Indian Point 3,NY,136477307462.4,6212941.0,594021.0
2017-12-01,8907,0.0,103717359521.27998,103717359521.27998,0.0,8.88888888888889,9.444444444444445,19.444444444444446,72.0,1012.0,Indian Point 3,NY,141026551044.48,8103868.0,774813.0
2018-01-01,8907,0.0,96196128768.0,96196128768.0,0.0,3.888888888888889,7.222222222222222,15.555555555555555,73.0,1012.0,Indian Point 3,NY,141026551044.48,8102677.0,775031.0
2018-02-01,8907,0.0,86886825983.99998,86886825983.99998,0.0,3.333333333333333,6.111111111111112,12.77777777777778,68.0,1012.0,Indian Point 3,NY,127378820298.23996,4034846.0,385938.0
2018-03-01,8907,0.0,94249513359.36002,94249446220.8,0.0,5.0,7.222222222222222,21.11111111111111,81.0,1012.0,Indian Point 3,NY,141026551044.48,8068542.0,771766.0
2018-04-01,8907,0.0,99378545241.6,99378496511.99998,0.0,7.222222222222222,9.444444444444445,21.11111111111111,80.0,1012.0,Indian Point 3,NY,136477307462.4,7837505.0,749667.0
2018-05-01,8907,0.0,121995798911.99998,121995798911.99998,0.0,13.88888888888889,18.333333333333336,27.222222222222225,90.0,1012.0,Indian Point 3,NY,141026551044.48,8089274.0,773749.0
2018-06-01,8907,0.0,129250748390.4,129250715903.99995,0.0,20.0,34.44444444444444,33.333333333333336,100.0,1012.0,Indian Point 3,NY,136477307462.4,7814630.0,747479.0
2018-07-01,8907,0.0,135547549401.6,135547549401.6,0.0,23.88888888888889,32.77777777777778,37.77777777777778,104.0,1012.0,Indian Point 3,NY,141026551044.48,7810720.0,747105.0
2018-08-01,8907,0.0,134739419339.52,134739368985.6,0.0,26.11111111111111,27.222222222222225,38.333333333333336,106.0,1012.0,Indian Point 3,NY,141026551044.48,7727135.0,739110.0
2018-09-01,8907,0.0,131721014246.39998,131720981760.0,0.0,23.88888888888889,27.222222222222225,33.333333333333336,105.0,1012.0,Indian Point 3,NY,136477307462.4,3588161.0,343212.0
2018-10-01,8907,0.0,132171688327.68,132171654758.4,0.0,18.88888888888889,22.77777777777778,30.0,94.0,1012.0,Indian Point 3,NY,141026551044.48,8100889.0,774860.0
2018-11-01,8907,0.0,127848278016.0,127848278016.0,0.0,11.11111111111111,16.11111111111111,25.55555555555556,89.0,1012.0,Indian Point 3,NY,136477307462.4,7851065.0,750964.0
2018-12-01,8907,0.0,121482860313.6,121482860313.6,0.0,6.111111111111112,8.333333333333334,20.0,80.0,1012.0,Indian Point 3,NY,141026551044.48,7753167.0,741600.0
2019-01-01,8907,0.0,108836792213.76004,108836641151.99998,0.0,4.444444444444445,21.11111111111111,18.333333333333336,67.0,1012.0,Indian Point 3,NY,141026551044.48,8093536.0,775121.0
2019-02-01,8907,0.0,91817310735.36,91817310735.36,0.0,3.333333333333333,20.0,17.77777777777778,64.0,1012.0,Indian Point 3,NY,127378820298.23996,7317816.0,700830.0
2019-03-01,8907,0.0,97117639073.28,97117639073.28,0.0,4.444444444444445,14.444444444444445,11.666666666666668,53.0,1012.0,Indian Point 3,NY,141026551044.48,2559100.0,245086.0
2019-04-01,8907,0.0,99995819328.00002,99995819328.00002,0.0,8.333333333333334,22.22222222222222,20.0,82.0,1012.0,Indian Point 3,NY,136477307462.4,5301462.0,507723.0
2019-05-01,8907,0.0,104799179923.2,104799179923.2,0.0,13.333333333333334,28.88888888888889,27.77777777777778,91.0,1012.0,Indian Point 3,NY,141026551044.48,8114764.0,777154.0
2019-06-01,8907,0.0,113692995187.2,113692995187.2,0.0,18.88888888888889,33.88888888888889,32.77777777777778,98.0,1012.0,Indian Point 3,NY,136477307462.4,7812980.0,748252.0
2019-07-01,8907,0.0,131367653717.76,131367653717.76,0.0,24.444444444444446,37.22222222222222,37.22222222222222,106.0,1012.0,Indian Point 3,NY,141026551044.48,8010598.0,767178.0
2019-08-01,8907,0.0,132521010255.36,132521010255.36,0.0,26.666666666666668,37.22222222222222,37.22222222222222,100.0,1012.0,Indian Point 3,NY,141026551044.48,7975681.0,763834.0
2019-09-01,8907,0.0,129057616742.4,129057616742.4,0.0,24.444444444444446,37.22222222222222,35.55555555555556,104.0,1012.0,Indian Point 3,NY,136477307462.4,7804261.0,747417.0
2019-10-01,8907,0.0,132417197256.96,132417197256.96,0.0,19.444444444444446,32.77777777777778,31.111111111111114,97.0,1012.0,Indian Point 3,NY,141026551044.48,8133747.0,778972.0
2019-11-01,8907,0.0,119980023206.4,119980023206.4,0.0,11.666666666666668,28.333333333333336,25.55555555555556,91.0,1012.0,Indian Point 3,NY,136477307462.4,7882260.0,754887.0
2019-12-01,8907,0.0,114075563696.63998,114075563696.63998,0.0,5.0,8.333333333333334,23.333333333333336,88.0,1012.0,Indian Point 3,NY,141026551044.48,8107350.0,776444.0
