date,Plant ID,diversion_rate_kgM,withdrawal_rate_kgM,discharge_rate_kgM,consumption_rate_kgM,avg_intake_temp_C,max_intake_temp_C,avg_discharge_temp_C,max_discharge_temp_C,Nameplate Capacity (MW),Plant Name,State,max_withdrawal_rate_kgM,elc_mmbtu_in,elc_mwh_out
2016-01-01,6168,0.0,83375349350.4,83375349350.4,0.0,8.88888888888889,13.88888888888889,23.333333333333336,82.0,1959.4,North Anna,VA,479799144496.512,15249060.0,1458123.0
2016-01-01,6168,0.0,78224814720.0,78224814720.0,0.0,8.88888888888889,13.88888888888889,23.333333333333336,82.0,1959.4,North Anna,VA,479799144496.512,15249060.0,1458123.0
2016-02-01,6168,0.0,76421251008.0,76421251008.0,0.0,6.666666666666667,7.777777777777779,21.666666666666668,72.0,1959.4,North Anna,VA,448844360980.608,14054109.0,1343861.0
2016-02-01,6168,0.0,69686609126.4,69686609126.4,0.0,6.111111111111112,7.222222222222222,22.22222222222222,74.0,1959.4,North Anna,VA,448844360980.608,14054109.0,1343861.0
2016-03-01,6168,0.0,82998030643.19998,82998030643.19998,0.0,10.555555555555555,12.222222222222223,25.55555555555556,81.0,1959.4,North Anna,VA,479799144496.512,8651271.0,827270.0
2016-03-01,6168,0.0,73125473241.6,73125473241.6,0.0,7.777777777777779,7.777777777777779,20.0,72.0,1959.4,North Anna,VA,479799144496.512,8651271.0,827270.0
2016-04-01,6168,0.0,101884822271.99998,101884822271.99998,0.0,14.444444444444445,18.333333333333336,26.11111111111111,84.0,1959.4,North Anna,VA,464321752738.56,12081000.0,1155169.0
2016-04-01,6168,0.0,123683196671.99998,123683196671.99998,0.0,15.555555555555555,18.88888888888889,25.0,85.0,1959.4,North Anna,VA,464321752738.56,12081000.0,1155169.0
2016-05-01,6168,0.0,133885534348.8,133885534348.8,0.0,18.88888888888889,22.22222222222222,28.333333333333336,89.0,1959.4,North Anna,VA,479799144496.512,15157044.0,1449325.0
2016-05-01,6168,0.0,127311662246.4,127311662246.4,0.0,19.444444444444446,23.333333333333336,28.88888888888889,90.0,1959.4,North Anna,VA,479799144496.512,15157044.0,1449325.0
2016-06-01,6168,0.0,130818834431.99998,130818834431.99998,0.0,25.55555555555556,27.222222222222225,35.0,98.0,1959.4,North Anna,VA,464321752738.56,14463206.0,1382940.0
2016-06-01,6168,0.0,129163002623.99995,129163002623.99995,0.0,26.11111111111111,27.77777777777778,35.55555555555556,99.0,1959.4,North Anna,VA,464321752738.56,14463206.0,1382940.0
2016-07-01,6168,0.0,135770952960.0,135770952960.0,0.0,29.444444444444446,31.666666666666668,38.333333333333336,102.0,1959.4,North Anna,VA,479799144496.512,14421674.0,1378976.0
2016-07-01,6168,0.0,134457890572.79996,134457890572.79996,0.0,29.444444444444446,31.666666666666668,38.88888888888889,102.0,1959.4,North Anna,VA,479799144496.512,14421674.0,1378976.0
2016-08-01,6168,0.0,135179630092.79996,135179630092.79996,0.0,30.55555555555556,31.111111111111114,39.44444444444444,105.0,1959.4,North Anna,VA,479799144496.512,13811136.0,1320585.0
2016-08-01,6168,0.0,135431903231.99998,135431903231.99998,0.0,30.55555555555556,31.111111111111114,38.88888888888889,104.0,1959.4,North Anna,VA,479799144496.512,13811136.0,1320585.0
2016-09-01,6168,0.0,131854500863.99995,131854500863.99995,0.0,28.88888888888889,30.55555555555556,37.77777777777778,103.0,1959.4,North Anna,VA,464321752738.56,9477101.0,906178.0
2016-09-01,6168,0.0,132015470976.0,132015470976.0,0.0,27.77777777777778,30.55555555555556,36.66666666666667,103.0,1959.4,North Anna,VA,464321752738.56,9477101.0,906178.0
2016-10-01,6168,0.0,69100180876.8,69100180876.8,0.0,20.55555555555556,21.666666666666668,25.55555555555556,87.0,1959.4,North Anna,VA,479799144496.512,10851082.0,1037564.0
2016-10-01,6168,0.0,132854118220.8,132854118220.8,0.0,21.666666666666668,24.444444444444446,30.55555555555556,93.0,1959.4,North Anna,VA,479799144496.512,10851082.0,1037564.0
2016-11-01,6168,0.0,117636340607.99998,117636340607.99998,0.0,16.666666666666668,19.444444444444446,26.666666666666668,84.0,1959.4,North Anna,VA,464321752738.56,14756603.0,1410977.0
2016-11-01,6168,0.0,119588935680.0,119588935680.0,0.0,16.666666666666668,19.444444444444446,26.666666666666668,84.0,1959.4,North Anna,VA,464321752738.56,14756603.0,1410977.0
2016-12-01,6168,0.0,67844857651.2,67844857651.2,0.0,10.555555555555555,13.88888888888889,25.55555555555556,83.0,1959.4,North Anna,VA,479799144496.512,15210550.0,1454397.0
