date,Plant ID,diversion_rate_kgM,withdrawal_rate_kgM,discharge_rate_kgM,consumption_rate_kgM,avg_intake_temp_C,max_intake_temp_C,avg_discharge_temp_C,max_discharge_temp_C,Nameplate Capacity (MW),Plant Name,State,max_withdrawal_rate_kgM,elc_mmbtu_in,elc_mwh_out
2016-01-01,3166,0.0,229596922713.6,227054385446.4,2542537267.2,3.333333333333333,10.555555555555555,17.77777777777778,70.0,2876.4,Peach Bottom,PA,251768552638.464,20642686.0,1973770.0
2016-02-01,3166,0.0,227568119961.6,225105141888.0,2462978073.6000004,3.333333333333333,7.222222222222222,17.22222222222222,66.0,2876.4,Peach Bottom,PA,235525420210.176,19253159.0,1840909.0
2016-03-01,3166,0.0,260703728179.2,257579099596.8,3124628582.4,8.88888888888889,12.222222222222223,22.22222222222222,78.0,2876.4,Peach Bottom,PA,251768552638.464,20517874.0,1961836.0
2016-04-01,3166,0.0,251831324160.0,248516736768.0,3314587391.9999995,13.333333333333334,17.77777777777778,26.666666666666668,88.0,2876.4,Peach Bottom,PA,243646986424.32,19603184.0,1874377.0
2016-05-01,3166,0.0,260405800819.2,257750638617.6,2655162201.6,17.22222222222222,26.666666666666668,30.0,100.0,2876.4,Peach Bottom,PA,251768552638.464,20007698.0,1913055.0
2016-06-01,3166,0.0,255033671040.0,251860561920.0,3173109120.0,25.0,27.222222222222225,36.66666666666667,102.0,2876.4,Peach Bottom,PA,243646986424.32,18681204.0,1786221.0
2016-07-01,3166,0.0,264246797836.8,260258431680.0,3988366156.8,28.88888888888889,31.111111111111114,38.88888888888889,104.0,2876.4,Peach Bottom,PA,251768552638.464,19345402.0,1849729.0
2016-08-01,3166,0.0,266068434816.0,261963918950.4,4104515865.6,28.88888888888889,31.666666666666668,38.88888888888889,105.0,2876.4,Peach Bottom,PA,251768552638.464,18983172.0,1815094.0
2016-09-01,3166,0.0,256323868416.0,252998073216.0,3325795200.0,26.666666666666668,29.444444444444446,40.0,106.0,2876.4,Peach Bottom,PA,243646986424.32,18400790.0,1759409.0
2016-10-01,3166,0.0,233657127129.6,231247692057.6,2409435071.9999995,19.444444444444446,23.88888888888889,31.111111111111114,96.0,2876.4,Peach Bottom,PA,251768552638.464,16494623.0,1577149.0
2016-11-01,3166,0.0,216336196224.0,214721947008.0,1614249215.9999998,12.77777777777778,19.444444444444446,22.77777777777778,79.0,2876.4,Peach Bottom,PA,243646986424.32,16178033.0,1546878.0
2016-12-01,3166,0.0,245776140748.8,244041616051.2,1734524697.6,5.555555555555555,7.222222222222222,18.333333333333336,71.0,2876.4,Peach Bottom,PA,251768552638.464,20676550.0,1977008.0
2017-01-01,3166,0.0,254376758131.2,252675970560.0,1700787571.2,2.2222222222222223,5.555555555555555,17.22222222222222,70.0,2876.4,Peach Bottom,PA,251768552638.464,20269392.0,1937962.0
2017-02-01,3166,0.0,214739565465.59995,213099522048.0,1640043417.6,4.444444444444445,8.88888888888889,17.77777777777778,75.0,2876.4,Peach Bottom,PA,227403853996.032,18544295.0,1773025.0
2017-03-01,3166,0.0,257440962009.6,255562089408.0,1878872601.6,5.555555555555555,8.333333333333334,19.444444444444446,73.0,2876.4,Peach Bottom,PA,251768552638.464,20625724.0,1972031.0
2017-04-01,3166,0.0,252527670144.0,250161848064.0,2365822080.0,12.77777777777778,18.333333333333336,26.11111111111111,88.0,2876.4,Peach Bottom,PA,243646986424.32,19790029.0,1892130.0
2017-05-01,3166,0.0,259337626329.6,256790389363.2,2547236966.4,16.666666666666668,20.55555555555556,29.444444444444446,90.0,2876.4,Peach Bottom,PA,251768552638.464,18809109.0,1798344.0
2017-06-01,3166,0.0,253514931840.0,250144630272.0,3370301568.0,23.88888888888889,37.22222222222222,36.11111111111112,102.0,2876.4,Peach Bottom,PA,243646986424.32,19257189.0,1841185.0
2017-07-01,3166,0.0,261835012915.2,258104458828.8,3730554086.4,26.666666666666668,28.88888888888889,38.333333333333336,105.0,2876.4,Peach Bottom,PA,251768552638.464,19567867.0,1870889.0
2017-08-01,3166,0.0,261209449382.39996,257646909542.4,3562539840.0,25.0,26.666666666666668,37.22222222222222,101.0,2876.4,Peach Bottom,PA,251768552638.464,19265076.0,1841939.0
2017-09-01,3166,0.0,252782850816.0,249899033088.0,2883817728.0,23.333333333333336,25.0,35.55555555555556,99.0,2876.4,Peach Bottom,PA,243646986424.32,17833461.0,1705062.0
2017-10-01,3166,0.0,227864915712.0,225793858982.4,2071056729.6,20.55555555555556,24.444444444444446,32.77777777777778,98.0,2876.4,Peach Bottom,PA,251768552638.464,15417957.0,1474115.0
2017-11-01,3166,0.0,234986800896.0,233413484544.0,1573316352.0000002,8.333333333333334,13.333333333333334,21.11111111111111,80.0,2876.4,Peach Bottom,PA,243646986424.32,17401405.0,1663753.0
2017-12-01,3166,0.0,259989541747.2,258303524659.2,1686017087.9999998,3.333333333333333,6.111111111111112,17.22222222222222,67.0,2876.4,Peach Bottom,PA,251768552638.464,20417347.0,1952108.0
2018-01-01,3166,0.0,209939591577.6,208203891955.2,1735699622.4,0.5555555555555556,1.1111111111111112,18.333333333333336,71.0,2876.4,Peach Bottom,PA,251768552638.464,20838362.0,1993215.0
2018-02-01,3166,0.0,204100356096.00003,202461070694.4,1639285401.6,3.333333333333333,7.222222222222222,19.444444444444446,72.0,2876.4,Peach Bottom,PA,227403853996.032,18563734.0,1775644.0
2018-03-01,3166,0.0,251570366323.2,249738994252.8,1831372070.4,5.555555555555555,8.333333333333334,18.88888888888889,71.0,2876.4,Peach Bottom,PA,251768552638.464,20485120.0,1959427.0
2018-04-01,3166,0.0,249739200000.0,247704414336.0,2034785664.0,9.444444444444445,13.88888888888889,22.77777777777778,81.0,2876.4,Peach Bottom,PA,243646986424.32,19816023.0,1895427.0
2018-05-01,3166,0.0,260489052633.6,257490644544.0,2998408089.6,18.333333333333336,21.666666666666668,31.666666666666668,93.0,2876.4,Peach Bottom,PA,251768552638.464,20658249.0,1975987.0
2018-06-01,3166,0.0,251769600000.0,248609160576.0,3160439424.0000005,23.333333333333336,25.55555555555556,35.55555555555556,100.0,2876.4,Peach Bottom,PA,243646986424.32,18959453.0,1813495.0
2018-07-01,3166,0.0,257262876979.2,253668110630.4,3594766348.8,26.11111111111111,29.444444444444446,37.77777777777778,105.0,2876.4,Peach Bottom,PA,251768552638.464,19540511.0,1869074.0
2018-08-01,3166,0.0,263538318182.39996,260041070592.0,3497247590.399999,23.88888888888889,26.11111111111111,36.11111111111112,101.0,2876.4,Peach Bottom,PA,251768552638.464,19840215.0,1897741.0
2018-09-01,3166,0.0,254386541952.0,251785843200.0,2600698751.9999995,21.11111111111111,26.666666666666668,33.333333333333336,104.0,2876.4,Peach Bottom,PA,243646986424.32,16571371.0,1585072.0
2018-10-01,3166,0.0,200723817139.2,200072908800.0,650908339.2,15.0,20.0,25.0,89.0,2876.4,Peach Bottom,PA,251768552638.464,10182953.0,974012.0
2018-11-01,3166,0.0,252769693824.0,250799880960.0,1969812864.0,7.777777777777779,12.222222222222223,20.55555555555556,77.0,2876.4,Peach Bottom,PA,243646986424.32,20264507.0,1938325.0
2018-12-01,3166,0.0,260455147660.8,258597591552.0,1857556108.8,4.444444444444445,6.666666666666667,17.77777777777778,67.0,2876.4,Peach Bottom,PA,251768552638.464,20937494.0,2002697.0
2019-01-01,3166,0.0,226307603243.52,224550620697.6,1757016115.1999996,2.7777777777777777,6.111111111111112,18.333333333333336,72.0,2876.4,Peach Bottom,PA,251768552638.464,20913138.0,2002859.0
2019-02-01,3166,0.0,195506122291.2,193964317747.2,1541804544.0,2.7777777777777777,4.444444444444445,18.88888888888889,71.0,2876.4,Peach Bottom,PA,227403853996.032,18896083.0,1809685.0
