date,Plant ID,diversion_rate_kgM,withdrawal_rate_kgM,discharge_rate_kgM,consumption_rate_kgM,avg_intake_temp_C,max_intake_temp_C,avg_discharge_temp_C,max_discharge_temp_C,Nameplate Capacity (MW),Plant Name,State,max_withdrawal_rate_kgM,elc_mmbtu_in,elc_mwh_out
2016-01-01,6045,0.0,172208056550.40002,172208056550.40002,0.0,25.0,26.666666666666668,37.22222222222222,104.0,2160.0,St Lucie,FL,173269800844.416,15624454.0,1493947.0
2016-02-01,6045,0.0,155776846924.8,155776846924.8,0.0,22.22222222222222,24.444444444444446,36.11111111111112,101.0,2160.0,St Lucie,FL,162091104015.744,14739424.0,1409324.0
2016-03-01,6045,0.0,173196839692.8,173196839692.8,0.0,22.77777777777778,25.0,36.66666666666667,102.0,2160.0,St Lucie,FL,173269800844.416,15665933.0,1497913.0
2016-04-01,6045,0.0,162717717887.99997,162717717887.99997,0.0,25.0,27.222222222222225,38.88888888888889,106.0,2160.0,St Lucie,FL,167680452430.08,15154501.0,1449012.0
2016-05-01,6045,0.0,173317185561.6,173317185561.6,0.0,26.666666666666668,28.333333333333336,40.55555555555556,109.0,2160.0,St Lucie,FL,173269800844.416,15592880.0,1490928.0
2016-06-01,6045,0.0,166658318207.99997,166658318207.99997,0.0,28.333333333333336,30.55555555555556,41.11111111111112,112.0,2160.0,St Lucie,FL,167680452430.08,14980168.0,1432343.0
2016-07-01,6045,0.0,172208056550.40002,172208056550.40002,0.0,27.77777777777778,30.55555555555556,41.66666666666667,112.0,2160.0,St Lucie,FL,173269800844.416,15492060.0,1481288.0
2016-08-01,6045,0.0,165500243020.8,165500243020.8,0.0,27.222222222222225,30.0,37.77777777777778,107.0,2160.0,St Lucie,FL,173269800844.416,8256080.0,789413.0
2016-09-01,6045,0.0,155848306176.0,155848306176.0,0.0,29.444444444444446,32.77777777777778,42.77777777777778,112.0,2160.0,St Lucie,FL,167680452430.08,13577839.0,1298258.0
2016-10-01,6045,0.0,85088725401.59999,85088725401.59999,0.0,26.666666666666668,30.0,35.55555555555556,108.0,2160.0,St Lucie,FL,173269800844.416,5704373.0,543538.0
2016-11-01,6045,0.0,148944946176.0,148944946176.0,0.0,25.0,26.11111111111111,37.77777777777778,104.0,2160.0,St Lucie,FL,167680452430.08,12538599.0,1198890.0
2016-12-01,6045,0.0,172208056550.40002,172208056550.40002,0.0,24.444444444444446,26.666666666666668,37.77777777777778,105.0,2160.0,St Lucie,FL,173269800844.416,15705622.0,1501708.0
2017-01-01,6045,0.0,172208006196.47998,172208006196.47998,0.0,23.333333333333336,25.0,37.22222222222222,102.0,2160.0,St Lucie,FL,173269800844.416,15506714.0,1482601.0
2017-02-01,6045,0.0,128506073471.99998,128506073471.99998,0.0,23.333333333333336,24.444444444444446,35.55555555555556,101.0,2160.0,St Lucie,FL,156501755601.40802,10014552.0,957494.0
2017-03-01,6045,0.0,173196873262.08002,171518409262.08002,0.0,23.333333333333336,25.55555555555556,35.55555555555556,103.0,2160.0,St Lucie,FL,173269800844.416,9227460.0,882240.0
2017-04-01,6045,0.0,170541937382.4,170541937382.4,0.0,25.0,26.666666666666668,38.88888888888889,104.0,2160.0,St Lucie,FL,167680452430.08,15146208.0,1448133.0
2017-05-01,6045,0.0,173318326917.12,173318326917.12,0.0,25.0,27.222222222222225,38.333333333333336,106.0,2160.0,St Lucie,FL,173269800844.416,15634450.0,1494814.0
2017-06-01,6045,0.0,166658236992.0,166658236992.0,0.0,25.0,28.333333333333336,38.333333333333336,108.0,2160.0,St Lucie,FL,167680452430.08,15158675.0,1449325.0
2017-07-01,6045,0.0,172208006196.47998,172208006196.47998,0.0,25.55555555555556,28.333333333333336,39.44444444444444,108.0,2160.0,St Lucie,FL,173269800844.416,15628813.0,1494275.0
2017-08-01,6045,0.0,169433119157.76,169433119157.76,0.0,27.222222222222225,30.0,41.11111111111112,111.0,2160.0,St Lucie,FL,173269800844.416,15522570.0,1484117.0
2017-09-01,6045,0.0,166658236992.0,166658236992.0,0.0,28.88888888888889,30.55555555555556,42.77777777777778,112.0,2160.0,St Lucie,FL,167680452430.08,14464680.0,1382972.0
2017-10-01,6045,0.0,172208006196.47998,172208006196.47998,0.0,27.77777777777778,30.0,41.11111111111112,110.0,2160.0,St Lucie,FL,173269800844.416,14641242.0,1399853.0
2017-11-01,6045,0.0,169433111577.6,169433111577.6,0.0,25.0,26.666666666666668,38.88888888888889,105.0,2160.0,St Lucie,FL,167680452430.08,15162838.0,1449723.0
2017-12-01,6045,0.0,172208006196.47998,172208006196.47998,0.0,23.333333333333336,26.11111111111111,37.22222222222222,103.0,2160.0,St Lucie,FL,173269800844.416,15713511.0,1502373.0
2018-01-01,6045,0.0,172208056550.40002,172208056550.40002,0.0,20.0,23.88888888888889,33.333333333333336,99.0,2160.0,St Lucie,FL,173269800844.416,15801365.0,1511420.0
2018-02-01,6045,0.0,150180100761.6,150180100761.6,0.0,23.333333333333336,25.55555555555556,37.22222222222222,103.0,2160.0,St Lucie,FL,156501755601.40802,14178595.0,1356200.0
2018-03-01,6045,0.0,119082992486.4,119082992486.4,0.0,22.77777777777778,25.0,35.55555555555556,101.0,2160.0,St Lucie,FL,173269800844.416,10563544.0,1010416.0
2018-04-01,6045,0.0,146993488127.99997,146993488127.99997,0.0,25.55555555555556,26.666666666666668,37.77777777777778,107.0,2160.0,St Lucie,FL,167680452430.08,12159854.0,1163105.0
