,Plant_Name,Latitude,Longitude
22,Browns Ferry,34.7042,-87.1189
102,Clinton Power Station,40.1719,-88.8339
103,Wolf Creek Generating Station,38.23926,-95.68978
207,Columbia Generating Station,46.4711,-119.3339
345,Millstone,41.3107,-72.1677
367,Turkey Point,25.4356,-80.3308
379,Vogtle,33.1427,-81.7625
478,Dresden Generating Station,41.39,-88.27
482,Quad Cities Generating Station,41.726111,-90.310278
777,Palisades,42.323,-86.3146
782,Fermi,41.9631,-83.2581
857,Monticello Nuclear Facility,45.3338,-93.8493
858,Prairie Island,44.622,-92.6333
1060,PSEG Salem Generating Station,39.4625,-75.5358
1135,Nine Mile Point Nuclear Station,43.5211,-76.41
1354,Peach Bottom,39.758936,-76.268742
1362,H B Robinson,34.4017,-80.1589
1373,Oconee,34.7939,-82.8986
1551,Surry,37.1661,-76.6986
1631,Point Beach Nuclear Plant,44.2806,-87.5369
1688,Waterford 3,29.995267,-90.471581
1694,Donald C Cook,41.975604,-86.565206
1695,Joseph M Farley,31.2231,-85.1116
1699,Palo Verde,33.3881,-112.8617
1701,Calvert Cliffs Nuclear Power Plant,38.4344,-76.4417
1704,Brunswick Nuclear,33.9597,-78.0114
1705,Harris,35.6334,-78.9556
1709,Perry,41.8006,-81.1439
1711,Braidwood Generation Station,41.2435,-88.2286
1712,Byron Generating Station,42.0742,-89.2819
1713,LaSalle Generating Station,41.245498,-88.669066
1717,Catawba,35.0514,-81.0694
1718,McGuire,35.4331,-80.9486
1719,Beaver Valley,40.6219,-80.4336
1723,St Lucie,27.348611,-80.246389
1727,Edwin I Hatch,31.9342,-82.3447
1738,Grand Gulf,32.0081,-91.0478
1755,Diablo Canyon,35.211536,-120.855542
1758,TalenEnergy Susquehanna,41.0919,-76.1462
1759,Limerick,40.224303,-75.58744
1760,James A Fitzpatrick,43.52139,-76.408394
1763,Seabrook,42.899167,-70.848889
1764,PSEG Hope Creek Generating Station,39.4666,-75.5377
1767,R E Ginna Nuclear Power Plant,43.2777,-77.3099
1771,V C Summer,34.2983,-81.3153
1783,Comanche Peak,32.298365,-97.785515
1785,Davis Besse,41.5967,-83.0861
1788,Sequoyah,35.2267,-85.0917
1789,Callaway,38.758919,-91.778841
1798,North Anna,38.06,-77.7897
1834,South Texas Project,28.795,-96.0481
1916,River Bend,30.757,-91.3327
2198,Watts Bar Nuclear Plant,35.6021,-84.7895
2381,Cooper Nuclear Station,40.3628,-95.6408
2388,Arkansas Nuclear One,35.311,-93.2351
