Date,Arkansas Nuclear One,Beaver Valley,Braidwood Generation Station,Browns Ferry,Brunswick,Byron Generating Station,Callaway,Calvert Cliffs Nuclear Power Plant,Catawba,Clinton Power Station,Columbia Generating Station,Comanche Peak,Cooper,Crystal River,Davis Besse,Diablo Canyon,Donald C Cook,Dresden Generating Station,Duane Arnold,Edwin I Hatch,Fermi,Fort Calhoun,Grand Gulf,H B Robinson,Harris,Indian Point 2,Indian Point 3,James A Fitzpatrick,Joseph M Farley,Kewaunee,LaSalle Generating Station,Limerick,McGuire,Millstone,Monticello,Nine Mile Point Nuclear Station,North Anna,Oconee,Oyster Creek,PPL Susquehanna,PSEG Hope Creek Generating Station,PSEG Salem Generating Station,Palisades,Palo Verde,Peach Bottom,Perry,Pilgrim Nuclear Power Station,Point Beach,Prairie Island,Quad Cities Generating Station,R. E. Ginna Nuclear Power Plant,River Bend Station,San Onofre,Seabrook,Sequoyah,South Texas Project,St Lucie,Surry,Three Mile Island,Turkey Point,V C Summer,Vermont Yankee,Vogtle,Waterford 3,Watts Bar Nuclear Plant,Wolf Creek Generating Station
2007-01-01,0.0,0.0,0.0,1100.0,149.92,0.0,0.0,0.0,151.19,40.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.68,12.024,176.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.69,0.0,0.0,43.1,0.0,0.0,0.0,0.0,159.8,0.0,0.0,0.0,0.0,22.18,0.0,0.0,0.0
2007-01-02,0.0,0.0,0.0,1100.0,187.4,0.0,0.0,0.0,0.0,40.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.68,12.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.69,0.0,0.0,32.3,0.0,0.0,0.0,0.0,159.8,0.0,0.0,0.0,0.0,22.18,0.0,0.0,0.0
2007-01-03,0.0,0.0,0.0,1100.0,46.85,0.0,0.0,0.0,0.0,40.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.68,12.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.69,0.0,0.0,32.3,0.0,0.0,0.0,0.0,159.8,0.0,0.0,0.0,0.0,22.18,0.0,0.0,0.0
2007-01-04,0.0,0.0,0.0,1111.352,74.96,0.0,0.0,0.0,0.0,40.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.35,12.024,0.0,68.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.36,0.0,0.0,0.0,0.0,0.0,0.0,903.0,0.0,0.0,0.0,0.0,23.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.69,0.0,0.0,32.3,0.0,0.0,0.0,0.0,159.8,0.0,0.0,0.0,0.0,22.18,0.0,0.0,0.0
2007-01-05,0.0,0.0,0.0,1111.352,0.0,0.0,0.0,0.0,0.0,40.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.68,12.024,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,33.36,0.0,0.0,0.0,0.0,0.0,0.0,361.2,0.0,0.0,0.0,0.0,0.0,0.0,26.22,0.0,0.0,0.0,0.0,0.0,60.69,0.0,0.0,10.7,0.0,0.0,0.0,0.0,159.8,0.0,0.0,0.0,0.0,22.18,0.0,0.0,0.0
2007-01-06,0.0,0.0,0.0,1111.352,0.0,0.0,0.0,0.0,1058.33,40.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.35,36.072,140.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,200.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.4,0.0,0.0,73.17,0.0,0.0,516.6,0.0,0.0,0.0,60.69,0.0,0.0,10.7,0.0,0.0,0.0,0.0,703.12,0.0,0.0,0.0,0.0,22.18,0.0,0.0,0.0
2007-01-07,0.0,0.0,0.0,1122.704,0.0,0.0,0.0,0.0,872.25,40.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.09,12.024,227.76,159.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.2,0.0,0.0,0.0,60.69,0.0,0.0,10.7,0.0,0.0,0.0,0.0,799.0,0.0,0.0,0.0,0.0,22.18,0.0,0.0,0.0
2007-01-08,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,40.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.35,12.024,113.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.69,0.0,0.0,10.7,0.0,0.0,0.0,0.0,239.7,0.0,0.0,0.0,0.0,22.18,0.0,0.0,0.0
2007-01-09,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,40.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.68,12.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.69,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-10,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,40.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.68,12.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.03,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.18,0.0,0.0,0.0
