Plant Code,Nameplate Capacity (MW),Plant Name,State,max_withdrawal_rate_kgM
46.0,3494.0,Browns Ferry,AL,1979794.29
204.0,1138.3,Clinton Power Station,IL,610000.0
210.0,1267.7,Wolf Creek Generating Station,KS,500086.0
566.0,2162.9,Millstone,CT,1467229.0899999999
621.0,1637.2,Turkey Point,FL,4803017.66
869.0,2018.6,Dresden Generating Station,IL,939852.46
880.0,2018.6,Quad Cities Generating Station,IL,939852.46
1922.0,685.0,Monticello Nuclear Facility,MN,291740.26
1925.0,1186.2,Prairie Island,MN,600087.27
2410.0,2340.0,PSEG Salem Generating Station,NJ,2219918.96
2589.0,1901.1,Nine Mile Point Nuclear Station,NY,286205.95999999996
3166.0,2876.4,Peach Bottom,PA,1499993.76
3251.0,768.6,H B Robinson,SC,678575.0
3265.0,2666.7,Oconee,SC,2124000.0
3806.0,1695.0,Surry,VA,2640204.47
4046.0,1286.0,Point Beach Nuclear Plant,WI,1466000.0
4270.0,1199.8,Waterford 3,LA,1001342.34
6000.0,2285.3,Donald C Cook,MI,2761209.36
6011.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD,2400349.09
6014.0,2003.2,Brunswick Nuclear,NC,1047966.0
6022.0,2449.8,Braidwood Generation Station,IL,40394.8
6026.0,2340.0,LaSalle Generating Station,IL,41292.46
6038.0,2440.6,McGuire,NC,2032000.0
6045.0,2160.0,St Lucie,FL,1032311.69
6099.0,2323.0,Diablo Canyon,CA,1734283.64
6110.0,883.3,James A Fitzpatrick,NY,359962.6
6115.0,1242.0,Seabrook,NH,500000.0
6122.0,614.0,R E Ginna Nuclear Power Plant,NY,399908.57
6127.0,1029.6,V C Summer,SC,533100.0
6145.0,2430.0,Comanche Peak,TX,2276000.0
6152.0,2441.0,Sequoyah,TN,1070013.51
6168.0,1959.4,North Anna,VA,2858560.83
6251.0,2708.6,South Texas Project,TX,269280.0
8036.0,801.0,Cooper Nuclear Station,NE,668000.0
8055.0,1845.0,Arkansas Nuclear One,AR,784910.65
8907.0,1012.0,Indian Point 3,NY,840211.95
